month,day,year,site,trap,species,sex,zero,juvenile,testes,vagina,pregnant,nipples,lactating,hindfoot_mm,weight_g,recap,escaped,notes
4,4,2024,DRX,B8,DM,M,Z,,,,,,,37,44,,,
4,4,2024,DRX,D1,PP,M,Z,,,,,,,21,19,,,
4,4,2024,STP,D1,SH,F,,,,,,B,,30,102,,,
4,4,2024,STP,A4,SH,M,Z,,,,,,,30,151,,,
4,4,2024,STP,A7,RF,M,,,S,,,,,17,14,,,
4,5,2024,DRX,B9,DM,F,Z,,,,,,,36,48,,,
4,5,2024,DRX,A0,SH,F,,,,,P,B,,29,140,,,
4,5,2024,STP,A5,SH,M,Z,,,,,,,31,170,,,
4,5,2024,STP,D3,SH,F,,,,,,B,,29,105,R,,
4,6,2024,DRX,D2,PP,M,Z,,,,,,,21,17,R,,
4,6,2024,DRX,A1,PP,M,Z,,,,,,,21,13,,,
4,6,2024,DRX,A5,DM,F,Z,,,,,,,36,42,R,,
4,6,2024,DRX,A8,DM,F,,,,,,B,,36,46,,,
4,6,2024,DRX,A9,DM,M,Z,,,,,,,36,42,,,
4,6,2024,STP,A5,SH,,,,,,,,,31,145,R,,
4,6,2024,STP,A6,PP,M,Z,,,,,,,,,,E,
4,6,2024,STP,A7,RF,F,Z,,,,,,,17,8,,,
4,6,2024,STP,D6,PP,,,,,,,,,,,,E,
10,23,2024,DRX,D6,PP,M,Z,,,,,,,22,15,,,
10,23,2024,DRX,C9,PP,F,Z,,,,,,,20,9,,,
10,23,2024,DRX,C7,PP,M,Z,,,,,,,21,10,,,
10,23,2024,STP,A4,SH,M,Z,,,,,,,31,67,,,
10,23,2024,STP,A8,SH,F,Z,,,,,,,33,101,,,
10,23,2024,STP,B9,SH,F,Z,,,,,,,30,58,,,
10,23,2024,STP,B4,SH,M,Z,,,,,,,33,105,,,
10,23,2024,STP,B3,SH,F,Z,,,,,,,29,58,,,
10,23,2024,STP,D0,SH,M,Z,,,,,,,35,184,,,
10,23,2024,STP,D1,SH,F,Z,,,,,,,33,99,,,
10,23,2024,STP,C8,SH,F,Z,,,,,,,32,104,,,
10,23,2024,STP,D7,SH,F,Z,,,,,,,32,97,,,
10,23,2024,STP,D6,SH,F,Z,,,,,,,33,87,,,
10,23,2024,STP,D4,SH,F,Z,,,,,,,31,72,,,
10,23,2024,STP,D3,SH,,,,,,,,,,,,E,
10,24,2024,DRX,D6,PP,M,Z,,,,,,,22,15,R,,
10,24,2024,DRX,C9,PP,F,Z,,,,,,,20,9,R,,
10,24,2024,DRX,B0,SH,F,Z,,,,,,,29,71,,,
10,24,2024,DRX,B9,PE,F,,J,,,,,,22,16,,,
10,24,2024,DRX,A9,DM,M,,,R,,,,,34,44,,,
10,24,2024,DRX,A8,DM,M,,,R,,,,,36,42,,,
10,24,2024,STP,A4,SH,F,Z,,,,,,,31,86,,,
10,24,2024,STP,A5,SH,M,Z,,,,,,,31,63,,,
